ord,ymd,mov,n,ok,out,out.id,in,in.id,committee,party,rank,note,xx
1,20181009,alta,1,ok,start,.,RUBEN IGNACIO MOREIRA VALDEZ,rp2-17p,asuntos frontera norte,pri,presidente,,
2,20210831,end,1,ok,RUBEN IGNACIO MOREIRA VALDEZ,rp2-17p,end,.,asuntos frontera norte,pri,presidente,,
3,20181009,alta,2,ok,start,.,SOCORRO IRMA ANDAZOLA GOMEZ,bc04p,asuntos frontera norte,morena,secretario,,
4,20210831,end,2,ok,SOCORRO IRMA ANDAZOLA GOMEZ,bc04p,end,.,asuntos frontera norte,morena,secretario,,
5,20181009,alta,3,ok,start,.,MANUEL LOPEZ CASTILLO,rp1-40p,asuntos frontera norte,morena,secretario,,
6,20210831,end,3,ok,MANUEL LOPEZ CASTILLO,rp1-40p,end,.,asuntos frontera norte,morena,secretario,,
7,20181011,alta,4,ok,start,.,JESUS SALVADOR MINOR MORA,bc01p,asuntos frontera norte,morena,secretario,listed vacant 9oct,
8,20181030,alta,4,ok,JESUS SALVADOR MINOR MORA,bc01p,vacant,.,asuntos frontera norte,morena,secretario,,
9,20190321,alta,4,ok,vacant,.,MARTHA LIZETH NORIEGA GALAZ,bc02s,asuntos frontera norte,morena,secretario,,
10,20190402,chg,4,ok,MARTHA LIZETH NORIEGA GALAZ,bc02s,MARTHA LIZETH NORIEGA GALAZ,bc02s,asuntos frontera norte,morena,integrante,demotion,
11,20210831,end,4,ok,MARTHA LIZETH NORIEGA GALAZ,bc02s,end,.,asuntos frontera norte,morena,integrante,,
12,20181011,alta,5,ok,start,.,JUAN CARLOS LOERA DE LA ROSA,rp1-36p,asuntos frontera norte,morena,secretario,not listed 9oct,
13,20181201,chg,5,ok,JUAN CARLOS LOERA DE LA ROSA,rp1-36p,FRANCISCO JORGE VILLARREAL PASARET,rp1-36s,asuntos frontera norte,morena,secretario,,
16,20201112,chg,5,ok,FRANCISCO JORGE VILLARREAL PASARET,rp1-36s,JUAN CARLOS LOERA DE LA ROSA,rp1-36p,asuntos frontera norte,morena,secretario,,
17,20210831,end,5,ok,JUAN CARLOS LOERA DE LA ROSA,rp1-36p,end,.,asuntos frontera norte,morena,secretario,,
18,20181009,alta,6,ok,start,.,JOSE SALVADOR ROSAS QUINTANILLA,tam01p,asuntos frontera norte,pan,secretario,,
19,20210831,end,6,ok,JOSE SALVADOR ROSAS QUINTANILLA,tam01p,end,.,asuntos frontera norte,pan,secretario,,
20,20181009,alta,7,ok,start,.,IRMA MARIA TERAN VILLALOBOS,rp1-12p,asuntos frontera norte,pri,secretario,,
21,20200225,baja,7,ok,IRMA MARIA TERAN VILLALOBOS,rp1-12p,vacant,.,asuntos frontera norte,pes,secretario,turncoat pri removed her,
22,20200721,alta,7,ok,vacant,.,IRMA MARIA TERAN VILLALOBOS,rp1-12p,asuntos frontera norte,pes,secretario,pes reinstates,
23,20210831,end,7,ok,IRMA MARIA TERAN VILLALOBOS,rp1-12p,end,.,asuntos frontera norte,pes,secretario,,
24,20181009,alta,8,ok,start,.,CLAUDIA ELENA LASTRA MUÑOZ,cua03p,asuntos frontera norte,pt,secretario,,
25,20210113,alta,8,ok,CLAUDIA ELENA LASTRA MUÑOZ,cua03p,CLAUDIA ELENA LASTRA MUÑOZ,cua03p,asuntos frontera norte,pan,secretario,turncoat,
26,20210831,end,8,ok,CLAUDIA ELENA LASTRA MUÑOZ,cua03p,end,.,asuntos frontera norte,pan,secretario,,
27,20181009,alta,9,ok,start,.,MAXIMINO ALEJANDRO CANDELARIA,rp4-36p,asuntos frontera norte,morena,integrante,,
28,20210831,end,9,ok,MAXIMINO ALEJANDRO CANDELARIA,rp4-36p,end,.,asuntos frontera norte,morena,integrante,,
29,20181009,alta,10,ok,start,.,MARINA DEL PILAR AVILA OLMEDA,bc02p,asuntos frontera norte,morena,integrante,,
30,20190301,baja,10,ok,MARINA DEL PILAR AVILA OLMEDA,bc02p,vacant,.,asuntos frontera norte,morena,integrante,,
31,20190402,alta,10,ok,vacant,.,MARTHA LIZETH NORIEGA GALAZ,bc02s,asuntos frontera norte,morena,integrante,,
32,20210831,end,10,ok,MARTHA LIZETH NORIEGA GALAZ,bc02s,end,.,asuntos frontera norte,morena,integrante,,
33,20181009,alta,11,ok,start,.,DIEGO EDUARDO DEL BOSQUE VILLARREAL,rp2-35p,asuntos frontera norte,morena,integrante,,
34,20210831,end,11,ok,DIEGO EDUARDO DEL BOSQUE VILLARREAL,rp2-35p,end,.,asuntos frontera norte,morena,integrante,,
35,20181009,alta,12,ok,start,.,TERESITA DE JESUS VARGAS MERAZ,cua02p,asuntos frontera norte,morena,integrante,,
36,20210831,end,12,ok,TERESITA DE JESUS VARGAS MERAZ,cua02p,end,.,asuntos frontera norte,morena,integrante,,
37,20181009,alta,13,ok,start,.,FRANCISCO ELIZONDO GARRIDO,rp2-27p,asuntos frontera norte,morena,integrante,,
38,20181030,alta,13,ok,FRANCISCO ELIZONDO GARRIDO,rp2-27p,JESUS SALVADOR MINOR MORA,bc01p,asuntos frontera norte,morena,integrante,,
39,20210831,end,13,ok,JESUS SALVADOR MINOR MORA,bc01p,end,.,asuntos frontera norte,morena,integrante,,
40,20181009,alta,14,ok,start,.,MELBA NELIA FARIAS ZAMBRANO,coa03p,asuntos frontera norte,morena,integrante,,
41,20181011,alta,14,ok,MELBA NELIA FARIAS ZAMBRANO,coa03p,ERACLIO RODRIGUEZ GOMEZ,cua07p,asuntos frontera norte,morena,integrante,,
42,20210831,end,14,ok,ERACLIO RODRIGUEZ GOMEZ,cua07p,end,.,asuntos frontera norte,morena,integrante,,
43,20181009,alta,15,ok,start,.,ERNESTO RUFFO APPEL,rp1-02p,asuntos frontera norte,pan,integrante,,
44,20210831,end,15,ok,ERNESTO RUFFO APPEL,rp1-02p,end,.,asuntos frontera norte,pan,integrante,,
45,20181009,alta,16,ok,start,.,MADELEINE BONNAFOUX ALCARAZ,rp1-05p,asuntos frontera norte,pan,integrante,,
46,20210303,baja,16,ok,MADELEINE BONNAFOUX ALCARAZ,rp1-05p,vacant,.,asuntos frontera norte,pan,integrante,licencia suplente no entro,
